movie_data
"movie_name:Star Wars year:1977 runtime:121 min genre:Action, Adventure, Fantasy description:Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader. description:Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader. director:George Lucas star:Mark Hamill, 
Harrison Ford, 
Carrie Fisher, 
Alec Guinness"
"movie_name:1917 year:2019 runtime:119 min genre:Action, Drama, War description:April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap. description:April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap. director:Sam Mendes star:Dean-Charles Chapman, 
George MacKay, 
Daniel Mays, 
Colin Firth"
"movie_name:GoldenEye year:1995 runtime:130 min genre:Action, Adventure, Thriller description:Years after a friend and fellow 00 agent is killed on a joint mission, a Russian crime syndicate steals a secret space-based weapons program known as ""GoldenEye"" and James Bond has to stop them from using it. description:Years after a friend and fellow 00 agent is killed on a joint mission, a Russian crime syndicate steals a secret space-based weapons program known as ""GoldenEye"" and James Bond has to stop them from using it. director:Martin Campbell star:Pierce Brosnan, 
Sean Bean, 
Izabella Scorupco, 
Famke Janssen"
"movie_name:Sicario year:2015 runtime:121 min genre:Action, Crime, Drama description:An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico. description:An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico. director:Denis Villeneuve star:Emily Blunt, 
Josh Brolin, 
Benicio Del Toro, 
Jon Bernthal"
"movie_name:Suicide Squad year:2016 runtime:123 min genre:Action, Adventure, Fantasy description:A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse. description:A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse. director:David Ayer star:Will Smith, 
Jared Leto, 
Margot Robbie, 
Viola Davis"
"movie_name:Oldboy year:2003 runtime:120 min genre:Action, Drama, Mystery description:After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days. description:After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days. director:Park Chan-wook star:Choi Min-sik, 
Yoo Ji-tae, 
Kang Hye-jeong, 
Kim Byeong-Ok"
"movie_name:Avengers: Infinity War year:2018 runtime:149 min genre:Action, Adventure, Sci-Fi description:The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe. description:The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe. director:Anthony Russo, 
Joe Russo star:Robert Downey Jr., 
Chris Hemsworth, 
Mark Ruffalo, 
Chris Evans"
"movie_name:From Dusk Till Dawn year:1996 runtime:108 min genre:Action, Crime, Horror description:Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results. description:Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results. director:Robert Rodriguez star:Harvey Keitel, 
George Clooney, 
Juliette Lewis, 
Quentin Tarantino"
